ds;y
2010-01;25.41172507
2010-02;26.4296131
2010-03;24.24139785
2010-04;21.77541667
2010-05;19.55493911
2010-06;17.25571031
2010-07;17.18827493
2010-08;16.29016173
2010-09;18.74194444
2010-10;19.39677419
2010-11;21.61513889
2010-12;23.35403226
2011-01;25.73252688
2011-02;25.33809524
2011-03;23.12554348
2011-04;22.01196106
2011-05;19.23903096
2011-06;16.50862309
2011-07;15.87254374
2011-08;16.71172507
2011-09;17.17111111
2011-10;20.65698925
2011-11;21.26013889
2011-12;22.96271871
2012-01;24.21344086
2012-02;25.89395683
2012-03;24.10807537
2012-04;21.90986111
2012-05;19.73884409
2012-06;17.38247566
2012-07;16.02808219
2012-08;18.9120108
2012-09;19.26954103
2012-10;21.33145161
2012-11;22.75781022
2012-12;25.59521739
2013-01;24.2391129
2013-02;25.08720238
2013-03;22.97341598
2013-04;21.82027778
2013-05;19.36950067
2013-06;18.09986072
2013-07;15.6169837
2013-08;16.20430108
2013-09;18.30361111
2013-10;20.4202957
2013-11;22.14319444
2013-12;24.51491935
2014-01;25.97231183
2014-02;26.44196429
2014-03;24.22741935
2014-04;22.42236111
2014-05;19.61612903
2014-06;17.95541667
2014-07;17.51130552
2014-08;17.71184388
2014-09;19.75062587
2014-10;21.93051075
2014-11;23.21333333
2014-12;24.54314516
2015-01;26.21895161
2015-02;25.2577381
2015-03;24.22620968
2015-04;23.03416507
2015-05;20.05906344
2015-06;18.22055556
2015-07;18.00887097
2015-08;20.28870968
2015-09;19.33795518
2015-10;19.70564516
2015-11;21.84666667
2015-12;24.33346774
2016-01;25.41236559
2016-02;25.81005747
2016-03;24.22889785
2016-04;24.31319444
2016-05;18.10860215
2016-06;14.20334728
2016-07;15.91357527
2016-08;17.18013514
2016-09;18.47844228
2016-10;20.04710633
2016-11;21.94083333
2016-12;23.77567204
2017-01;25.84018817
2017-02;26.43169643
2017-03;24.16397849
2017-04;21.78708333
2017-05;20.29986505
2017-06;18.35312935
2017-07;17.69541161
2017-08;18.69448925
2017-09;20.97972222
2017-10;21.35040323
2017-11;21.69041667
2017-12;23.82379032
2018-01;24.71438172
2018-02;24.228125
2018-03;24.40363392
2018-04;23.57611111
2018-05;20.33172043
2018-06;17.04833333
2018-07;17.05564516
2018-08;16.27294751
2018-09;19.89138889
2018-10;20.83978495
2018-11;22.84569444
2018-12;24.51962366
2019-01;27.23763441
2019-02;24.76592262
2019-03;24.42701613
2019-04;23.34041667
2019-05;21.42379032
2019-06;19.94122563
2019-07;16.76153846
2019-08;17.22834008
2019-09;18.49458333
2019-10;21.53817204
2019-11;22.73805556
2019-12;24.05510753
2020-01;25.20188172
2020-02;24.58275862
2020-03;24.52392473
2020-04;21.81777778
2020-05;19.1344086
2020-06;18.9488178
2020-07;16.60714286
2020-08;17.43162853
2020-09;19.26527778
2020-10;21.14435484
2020-11;22.18998609
2020-12;23.80349462
2021-01;24.89516129
2021-02;24.72931548
2021-03;24.66532258
2021-04;21.96013889
2021-05;18.3391129
2021-06;17.07005571
2021-07;15.82354533
2021-08;17.59771505
2021-09;19.69097222
2021-10;19.72271505
2021-11;21.84597222
2021-12;23.47284946
2022-01;25.71908602
2022-02;25.48794643
2022-03;24.21747312
2022-04;21.69222222
2022-05;18.4344086
2022-06;16.32972222
2022-07;18.46514132
2022-08;17.07284946
2022-09;17.69082058
2022-10;20.38629032
2022-11;21.33263889
2022-12;23.63297151
2023-01;25.56384409
2023-02;25.059375
2023-03;25.47916667
2023-04;21.81097222
2023-05;20.63041723
2023-06;18.55243394
2023-07;17.94260753
2023-08;18.4532345
2023-09;20.45824964
2023-10;19.88346774
2023-11;22.34597222
2023-12;25.15241935
2024-01;24.58669355
2024-02;26.64570983
2024-03;26.33130631
2024-04;25.29003984
2024-05;23.41445783
2024-06;19.59357326
2024-07;15.92100271
2024-08;16.96021651
2024-09;19.98708333
2024-10;21.61975806
2024-11;22.92486111
2024-12;23.20376344
